agegroup,gender,region,cancer,value,year
85+,F,Belgium,"Biliary tract, NOS",22,2015
85+,F,Belgium,Pancreas,119,2015
85+,F,Belgium,Other ill-defined digestive organs,2,2015
85+,F,Belgium,Nasal cavity and middle ear,2,2015
85+,F,Belgium,Accessory sinuses,4,2015
85+,F,Belgium,Larynx,6,2015
85+,F,Belgium,Trachea,1,2015
85+,F,Belgium,Bronchus and lung,150,2015
85+,F,Belgium,Thymus,1,2015
85+,F,Belgium,"Heart, mediastinum and pleura",2,2015
85+,F,Belgium,"Respiratory system and intrathoracic organs, NOS",1,2015
85+,F,Belgium,Bone and articular cartilage of limbs,2,2015
85+,F,Belgium,"Bone and articular cartilage, NOS",-,2015
85+,F,Belgium,Malignant melanoma of skin,84,2015
85+,F,Belgium,Malignant neoplasms of skin,782,2015
85+,F,Belgium,Mesothelioma,11,2015
85+,F,Belgium,Kaposi's sarcoma,2,2015
85+,F,Belgium,Soft tissues,14,2015
85+,F,Belgium,Retroperitoneum and peritoneum,2,2015
85+,F,Belgium,Breast,700,2015
85+,F,Belgium,Vulva,32,2015
85+,F,Belgium,Vagina,8,2015
85+,F,Belgium,Cervix uteri,24,2015
85+,F,Belgium,Corpus uteri,120,2015
85+,F,Belgium,Uterus,1,2015
85+,F,Belgium,Ovary,68,2015
85+,F,Belgium,"Female genital organs, NOS",9,2015
85+,F,Belgium,Placenta,-,2015
85+,F,Belgium,Kidney,39,2015
85+,F,Belgium,Renal pelvis,12,2015
85+,F,Belgium,Ureter,11,2015
85+,F,Belgium,Bladder,116,2015
85+,F,Belgium,"Urinary organs, NOS",1,2015
85+,F,Belgium,Eye and adnexa,7,2015
85+,F,Belgium,Meninges,-,2015
85+,F,Belgium,Brain,14,2015
85+,F,Belgium,"Spinal cord, cranial nerves and CNS, NOS",-,2015
85+,F,Belgium,Thyroid gland,11,2015
85+,F,Belgium,Adrenal gland,1,2015
85+,F,Belgium,"Endocrine glands, NOS",-,2015
85+,F,Belgium,Hodgkin's disease,3,2015
85+,F,Belgium,Non-Hodgkin-lymphoma,108,2015
85+,F,Belgium,Malignant immunoproliferative diseases,20,2015
85+,F,Belgium,Multiple myeloma,45,2015
85+,F,Belgium,Lymphoid leukaemia,41,2015
85+,F,Belgium,Myeloid leukaemia,44,2015
85+,F,Belgium,Monocytic leukaemia,8,2015
85+,F,Belgium,Leukaemia other,2,2015
85+,F,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",1,2015
85+,F,Belgium,Other and ill-defined sites,3,2015
85+,F,Belgium,Unknown primary site,92,2015
85+,F,Belgium,Myeloproliferative Disorders,56,2015
85+,F,Belgium,Myelodysplastic syndromes,77,2015
00-,M,Belgium,Lip,-,2015
00-,M,Belgium,Base of tongue,-,2015
00-,M,Belgium,Tongue,-,2015
00-,M,Belgium,Gum,-,2015
00-,M,Belgium,Floor of mouth,-,2015
00-,M,Belgium,Palate,-,2015
00-,M,Belgium,"Mouth, NOS",-,2015
00-,M,Belgium,Parotid gland,-,2015
00-,M,Belgium,"Salivary glands, NOS",-,2015
00-,M,Belgium,Tonsil,-,2015
00-,M,Belgium,Oropharynx,-,2015
00-,M,Belgium,Nasopharynx,-,2015
00-,M,Belgium,Pyriform sinus,-,2015
00-,M,Belgium,Hypopharynx,-,2015
00-,M,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
00-,M,Belgium,Oesophagus,-,2015
00-,M,Belgium,Stomach,-,2015
00-,M,Belgium,Small intestine,-,2015
00-,M,Belgium,Colon,-,2015
00-,M,Belgium,Rectosigmoid junction,-,2015
00-,M,Belgium,Rectum,-,2015
00-,M,Belgium,Anus and anal canal,-,2015
00-,M,Belgium,Liver and intrahepatic bile ducts,2,2015
00-,M,Belgium,Gallbladder,-,2015
00-,M,Belgium,"Biliary tract, NOS",-,2015
00-,M,Belgium,Pancreas,-,2015
00-,M,Belgium,Other ill-defined digestive organs,-,2015
00-,M,Belgium,Nasal cavity and middle ear,-,2015
00-,M,Belgium,Accessory sinuses,-,2015
00-,M,Belgium,Larynx,-,2015
00-,M,Belgium,Trachea,-,2015
00-,M,Belgium,Bronchus and lung,-,2015
00-,M,Belgium,Thymus,-,2015
00-,M,Belgium,"Heart, mediastinum and pleura",1,2015
00-,M,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
00-,M,Belgium,Bone and articular cartilage of limbs,-,2015
00-,M,Belgium,"Bone and articular cartilage, NOS",1,2015
00-,M,Belgium,Malignant melanoma of skin,-,2015
00-,M,Belgium,Malignant neoplasms of skin,1,2015
00-,M,Belgium,Mesothelioma,-,2015
00-,M,Belgium,Kaposi's sarcoma,-,2015
00-,M,Belgium,Soft tissues,1,2015
00-,M,Belgium,Retroperitoneum and peritoneum,2,2015
00-,M,Belgium,Breast,-,2015
00-,M,Belgium,Penis,-,2015
00-,M,Belgium,Prostate,-,2015
00-,M,Belgium,Testis,2,2015
00-,M,Belgium,"Male genital organs, NOS",-,2015
00-,M,Belgium,Kidney,3,2015
00-,M,Belgium,Renal pelvis,-,2015
00-,M,Belgium,Ureter,-,2015
00-,M,Belgium,Bladder,-,2015
00-,M,Belgium,"Urinary organs, NOS",-,2015
00-,M,Belgium,Eye and adnexa,7,2015
00-,M,Belgium,Meninges,-,2015
00-,M,Belgium,Brain,14,2015
00-,M,Belgium,"Spinal cord, cranial nerves and CNS, NOS",-,2015
00-,M,Belgium,Thyroid gland,-,2015
00-,M,Belgium,Adrenal gland,6,2015
00-,M,Belgium,"Endocrine glands, NOS",-,2015
00-,M,Belgium,Hodgkin's disease,-,2015
00-,M,Belgium,Non-Hodgkin-lymphoma,1,2015
00-,M,Belgium,Malignant immunoproliferative diseases,-,2015
00-,M,Belgium,Multiple myeloma,-,2015
00-,M,Belgium,Lymphoid leukaemia,13,2015
00-,M,Belgium,Myeloid leukaemia,1,2015
00-,M,Belgium,Monocytic leukaemia,3,2015
00-,M,Belgium,Leukaemia other,-,2015
00-,M,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",4,2015
00-,M,Belgium,Other and ill-defined sites,-,2015
00-,M,Belgium,Unknown primary site,1,2015
00-,M,Belgium,Myeloproliferative Disorders,-,2015
00-,M,Belgium,Myelodysplastic syndromes,2,2015
05-,M,Belgium,Lip,-,2015
05-,M,Belgium,Base of tongue,-,2015
05-,M,Belgium,Tongue,-,2015
05-,M,Belgium,Gum,-,2015
05-,M,Belgium,Floor of mouth,-,2015
05-,M,Belgium,Palate,-,2015
05-,M,Belgium,"Mouth, NOS",-,2015
05-,M,Belgium,Parotid gland,-,2015
05-,M,Belgium,"Salivary glands, NOS",-,2015
05-,M,Belgium,Tonsil,-,2015
05-,M,Belgium,Oropharynx,-,2015
05-,M,Belgium,Nasopharynx,-,2015
05-,M,Belgium,Pyriform sinus,-,2015
05-,M,Belgium,Hypopharynx,-,2015
05-,M,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
05-,M,Belgium,Oesophagus,-,2015
05-,M,Belgium,Stomach,-,2015
05-,M,Belgium,Small intestine,-,2015
05-,M,Belgium,Colon,1,2015
05-,M,Belgium,Rectosigmoid junction,-,2015
05-,M,Belgium,Rectum,-,2015
05-,M,Belgium,Anus and anal canal,-,2015
05-,M,Belgium,Liver and intrahepatic bile ducts,-,2015
05-,M,Belgium,Gallbladder,-,2015
05-,M,Belgium,"Biliary tract, NOS",-,2015
05-,M,Belgium,Pancreas,-,2015
05-,M,Belgium,Other ill-defined digestive organs,-,2015
05-,M,Belgium,Nasal cavity and middle ear,-,2015
05-,M,Belgium,Accessory sinuses,-,2015
05-,M,Belgium,Larynx,-,2015
05-,M,Belgium,Trachea,-,2015
05-,M,Belgium,Bronchus and lung,1,2015
05-,M,Belgium,Thymus,-,2015
05-,M,Belgium,"Heart, mediastinum and pleura",-,2015
05-,M,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
05-,M,Belgium,Bone and articular cartilage of limbs,-,2015
05-,M,Belgium,"Bone and articular cartilage, NOS",1,2015
05-,M,Belgium,Malignant melanoma of skin,-,2015
05-,M,Belgium,Malignant neoplasms of skin,-,2015
05-,M,Belgium,Mesothelioma,-,2015
05-,M,Belgium,Kaposi's sarcoma,-,2015
05-,M,Belgium,Soft tissues,2,2015
05-,M,Belgium,Retroperitoneum and peritoneum,1,2015
05-,M,Belgium,Breast,-,2015
05-,M,Belgium,Penis,-,2015
05-,M,Belgium,Prostate,-,2015
05-,M,Belgium,Testis,-,2015
05-,M,Belgium,"Male genital organs, NOS",-,2015
05-,M,Belgium,Kidney,-,2015
05-,M,Belgium,Renal pelvis,-,2015
05-,M,Belgium,Ureter,-,2015
05-,M,Belgium,Bladder,-,2015
05-,M,Belgium,"Urinary organs, NOS",-,2015
05-,M,Belgium,Eye and adnexa,-,2015
05-,M,Belgium,Meninges,-,2015
05-,M,Belgium,Brain,8,2015
05-,M,Belgium,"Spinal cord, cranial nerves and CNS, NOS",1,2015
05-,M,Belgium,Thyroid gland,-,2015
05-,M,Belgium,Adrenal gland,-,2015
05-,M,Belgium,"Endocrine glands, NOS",-,2015
05-,M,Belgium,Hodgkin's disease,1,2015
05-,M,Belgium,Non-Hodgkin-lymphoma,8,2015
05-,M,Belgium,Malignant immunoproliferative diseases,-,2015
05-,M,Belgium,Multiple myeloma,-,2015
05-,M,Belgium,Lymphoid leukaemia,11,2015
05-,M,Belgium,Myeloid leukaemia,2,2015
05-,M,Belgium,Monocytic leukaemia,-,2015
05-,M,Belgium,Leukaemia other,-,2015
05-,M,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",1,2015
05-,M,Belgium,Other and ill-defined sites,-,2015
05-,M,Belgium,Unknown primary site,-,2015
05-,M,Belgium,Myeloproliferative Disorders,-,2015
05-,M,Belgium,Myelodysplastic syndromes,2,2015
10-,M,Belgium,Lip,-,2015
10-,M,Belgium,Base of tongue,-,2015
10-,M,Belgium,Tongue,-,2015
10-,M,Belgium,Gum,-,2015
10-,M,Belgium,Floor of mouth,-,2015
10-,M,Belgium,Palate,-,2015
10-,M,Belgium,"Mouth, NOS",-,2015
10-,M,Belgium,Parotid gland,2,2015
10-,M,Belgium,"Salivary glands, NOS",-,2015
10-,M,Belgium,Tonsil,-,2015
10-,M,Belgium,Oropharynx,-,2015
10-,M,Belgium,Nasopharynx,1,2015
10-,M,Belgium,Pyriform sinus,-,2015
10-,M,Belgium,Hypopharynx,-,2015
10-,M,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
10-,M,Belgium,Oesophagus,-,2015
10-,M,Belgium,Stomach,-,2015
10-,M,Belgium,Small intestine,-,2015
10-,M,Belgium,Colon,1,2015
10-,M,Belgium,Rectosigmoid junction,-,2015
10-,M,Belgium,Rectum,-,2015
10-,M,Belgium,Anus and anal canal,-,2015
10-,M,Belgium,Liver and intrahepatic bile ducts,-,2015
10-,M,Belgium,Gallbladder,-,2015
10-,M,Belgium,"Biliary tract, NOS",-,2015
10-,M,Belgium,Pancreas,-,2015
10-,M,Belgium,Other ill-defined digestive organs,-,2015
10-,M,Belgium,Nasal cavity and middle ear,-,2015
10-,M,Belgium,Accessory sinuses,-,2015
10-,M,Belgium,Larynx,-,2015
10-,M,Belgium,Trachea,-,2015
10-,M,Belgium,Bronchus and lung,1,2015
10-,M,Belgium,Thymus,-,2015
10-,M,Belgium,"Heart, mediastinum and pleura",-,2015
10-,M,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
10-,M,Belgium,Bone and articular cartilage of limbs,4,2015
10-,M,Belgium,"Bone and articular cartilage, NOS",2,2015
10-,M,Belgium,Malignant melanoma of skin,-,2015
10-,M,Belgium,Malignant neoplasms of skin,-,2015
10-,M,Belgium,Mesothelioma,-,2015
10-,M,Belgium,Kaposi's sarcoma,-,2015
10-,M,Belgium,Soft tissues,2,2015
10-,M,Belgium,Retroperitoneum and peritoneum,-,2015
10-,M,Belgium,Breast,-,2015
10-,M,Belgium,Penis,-,2015
10-,M,Belgium,Prostate,-,2015
10-,M,Belgium,Testis,1,2015
10-,M,Belgium,"Male genital organs, NOS",-,2015
10-,M,Belgium,Kidney,-,2015
10-,M,Belgium,Renal pelvis,-,2015
10-,M,Belgium,Ureter,-,2015
10-,M,Belgium,Bladder,-,2015
10-,M,Belgium,"Urinary organs, NOS",-,2015
10-,M,Belgium,Eye and adnexa,-,2015
10-,M,Belgium,Meninges,-,2015
10-,M,Belgium,Brain,6,2015
10-,M,Belgium,"Spinal cord, cranial nerves and CNS, NOS",-,2015
10-,M,Belgium,Thyroid gland,1,2015
10-,M,Belgium,Adrenal gland,1,2015
10-,M,Belgium,"Endocrine glands, NOS",2,2015
10-,M,Belgium,Hodgkin's disease,7,2015
10-,M,Belgium,Non-Hodgkin-lymphoma,7,2015
10-,M,Belgium,Malignant immunoproliferative diseases,-,2015
10-,M,Belgium,Multiple myeloma,-,2015
10-,M,Belgium,Lymphoid leukaemia,6,2015
10-,M,Belgium,Myeloid leukaemia,1,2015
10-,M,Belgium,Monocytic leukaemia,-,2015
10-,M,Belgium,Leukaemia other,1,2015
10-,M,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",1,2015
10-,M,Belgium,Other and ill-defined sites,-,2015
10-,M,Belgium,Unknown primary site,-,2015
10-,M,Belgium,Myeloproliferative Disorders,2,2015
10-,M,Belgium,Myelodysplastic syndromes,1,2015
15-,M,Belgium,Lip,-,2015
15-,M,Belgium,Base of tongue,-,2015
15-,M,Belgium,Tongue,-,2015
15-,M,Belgium,Gum,-,2015
15-,M,Belgium,Floor of mouth,-,2015
15-,M,Belgium,Palate,-,2015
15-,M,Belgium,"Mouth, NOS",-,2015
15-,M,Belgium,Parotid gland,-,2015
15-,M,Belgium,"Salivary glands, NOS",-,2015
15-,M,Belgium,Tonsil,-,2015
15-,M,Belgium,Oropharynx,-,2015
15-,M,Belgium,Nasopharynx,-,2015
15-,M,Belgium,Pyriform sinus,-,2015
15-,M,Belgium,Hypopharynx,-,2015
15-,M,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
15-,M,Belgium,Oesophagus,-,2015
15-,M,Belgium,Stomach,-,2015
15-,M,Belgium,Small intestine,1,2015
15-,M,Belgium,Colon,2,2015
15-,M,Belgium,Rectosigmoid junction,-,2015
15-,M,Belgium,Rectum,-,2015
15-,M,Belgium,Anus and anal canal,-,2015
15-,M,Belgium,Liver and intrahepatic bile ducts,1,2015
15-,M,Belgium,Gallbladder,-,2015
15-,M,Belgium,"Biliary tract, NOS",-,2015
15-,M,Belgium,Pancreas,-,2015
15-,M,Belgium,Other ill-defined digestive organs,-,2015
15-,M,Belgium,Nasal cavity and middle ear,-,2015
15-,M,Belgium,Accessory sinuses,-,2015
15-,M,Belgium,Larynx,-,2015
15-,M,Belgium,Trachea,-,2015
15-,M,Belgium,Bronchus and lung,-,2015
15-,M,Belgium,Thymus,-,2015
15-,M,Belgium,"Heart, mediastinum and pleura",-,2015
15-,M,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
15-,M,Belgium,Bone and articular cartilage of limbs,8,2015
15-,M,Belgium,"Bone and articular cartilage, NOS",2,2015
15-,M,Belgium,Malignant melanoma of skin,2,2015
15-,M,Belgium,Malignant neoplasms of skin,2,2015
15-,M,Belgium,Mesothelioma,-,2015
15-,M,Belgium,Kaposi's sarcoma,-,2015
15-,M,Belgium,Soft tissues,-,2015
15-,M,Belgium,Retroperitoneum and peritoneum,-,2015
15-,M,Belgium,Breast,-,2015
15-,M,Belgium,Penis,-,2015
15-,M,Belgium,Prostate,3,2015
15-,M,Belgium,Testis,18,2015
15-,M,Belgium,"Male genital organs, NOS",-,2015
15-,M,Belgium,Kidney,-,2015
15-,M,Belgium,Renal pelvis,-,2015
15-,M,Belgium,Ureter,-,2015
15-,M,Belgium,Bladder,-,2015
15-,M,Belgium,"Urinary organs, NOS",-,2015
15-,M,Belgium,Eye and adnexa,-,2015
15-,M,Belgium,Meninges,-,2015
15-,M,Belgium,Brain,4,2015
15-,M,Belgium,"Spinal cord, cranial nerves and CNS, NOS",2,2015
15-,M,Belgium,Thyroid gland,4,2015
15-,M,Belgium,Adrenal gland,-,2015
15-,M,Belgium,"Endocrine glands, NOS",1,2015
15-,M,Belgium,Hodgkin's disease,18,2015
15-,M,Belgium,Non-Hodgkin-lymphoma,3,2015
15-,M,Belgium,Malignant immunoproliferative diseases,3,2015
15-,M,Belgium,Multiple myeloma,-,2015
15-,M,Belgium,Lymphoid leukaemia,11,2015
15-,M,Belgium,Myeloid leukaemia,6,2015
15-,M,Belgium,Monocytic leukaemia,-,2015
15-,M,Belgium,Leukaemia other,-,2015
15-,M,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",-,2015
15-,M,Belgium,Other and ill-defined sites,-,2015
15-,M,Belgium,Unknown primary site,-,2015
15-,M,Belgium,Myeloproliferative Disorders,-,2015
15-,M,Belgium,Myelodysplastic syndromes,1,2015
20-,M,Belgium,Lip,-,2015
20-,M,Belgium,Base of tongue,-,2015
20-,M,Belgium,Tongue,-,2015
20-,M,Belgium,Gum,-,2015
20-,M,Belgium,Floor of mouth,-,2015
20-,M,Belgium,Palate,-,2015
20-,M,Belgium,"Mouth, NOS",-,2015
20-,M,Belgium,Parotid gland,1,2015
20-,M,Belgium,"Salivary glands, NOS",-,2015
20-,M,Belgium,Tonsil,-,2015
20-,M,Belgium,Oropharynx,-,2015
20-,M,Belgium,Nasopharynx,-,2015
20-,M,Belgium,Pyriform sinus,-,2015
20-,M,Belgium,Hypopharynx,-,2015
20-,M,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
20-,M,Belgium,Oesophagus,-,2015
20-,M,Belgium,Stomach,1,2015
20-,M,Belgium,Small intestine,-,2015
20-,M,Belgium,Colon,10,2015
20-,M,Belgium,Rectosigmoid junction,-,2015
20-,M,Belgium,Rectum,2,2015
20-,M,Belgium,Anus and anal canal,1,2015
20-,M,Belgium,Liver and intrahepatic bile ducts,-,2015
20-,M,Belgium,Gallbladder,-,2015
20-,M,Belgium,"Biliary tract, NOS",-,2015
20-,M,Belgium,Pancreas,-,2015
20-,M,Belgium,Other ill-defined digestive organs,-,2015
20-,M,Belgium,Nasal cavity and middle ear,-,2015
20-,M,Belgium,Accessory sinuses,-,2015
20-,M,Belgium,Larynx,-,2015
20-,M,Belgium,Trachea,1,2015
20-,M,Belgium,Bronchus and lung,-,2015
20-,M,Belgium,Thymus,-,2015
20-,M,Belgium,"Heart, mediastinum and pleura",2,2015
20-,M,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
20-,M,Belgium,Bone and articular cartilage of limbs,6,2015
20-,M,Belgium,"Bone and articular cartilage, NOS",2,2015
20-,M,Belgium,Malignant melanoma of skin,7,2015
20-,M,Belgium,Malignant neoplasms of skin,1,2015
20-,M,Belgium,Mesothelioma,1,2015
20-,M,Belgium,Kaposi's sarcoma,-,2015
20-,M,Belgium,Soft tissues,2,2015
20-,M,Belgium,Retroperitoneum and peritoneum,-,2015
20-,M,Belgium,Breast,1,2015
20-,M,Belgium,Penis,1,2015
20-,M,Belgium,Prostate,-,2015
20-,M,Belgium,Testis,33,2015
20-,M,Belgium,"Male genital organs, NOS",-,2015
20-,M,Belgium,Kidney,-,2015
20-,M,Belgium,Renal pelvis,-,2015
20-,M,Belgium,Ureter,1,2015
20-,M,Belgium,Bladder,-,2015
20-,M,Belgium,"Urinary organs, NOS",-,2015
20-,M,Belgium,Eye and adnexa,-,2015
20-,M,Belgium,Meninges,-,2015
20-,M,Belgium,Brain,10,2015
20-,M,Belgium,"Spinal cord, cranial nerves and CNS, NOS",-,2015
20-,M,Belgium,Thyroid gland,5,2015
20-,M,Belgium,Adrenal gland,2,2015
20-,M,Belgium,"Endocrine glands, NOS",-,2015
20-,M,Belgium,Hodgkin's disease,17,2015
20-,M,Belgium,Non-Hodgkin-lymphoma,10,2015
20-,M,Belgium,Malignant immunoproliferative diseases,-,2015
20-,M,Belgium,Multiple myeloma,-,2015
20-,M,Belgium,Lymphoid leukaemia,2,2015
20-,M,Belgium,Myeloid leukaemia,5,2015
20-,M,Belgium,Monocytic leukaemia,-,2015
20-,M,Belgium,Leukaemia other,1,2015
20-,M,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",1,2015
20-,M,Belgium,Other and ill-defined sites,-,2015
20-,M,Belgium,Unknown primary site,-,2015
20-,M,Belgium,Myeloproliferative Disorders,-,2015
20-,M,Belgium,Myelodysplastic syndromes,1,2015
25-,M,Belgium,Lip,-,2015
25-,M,Belgium,Base of tongue,-,2015
25-,M,Belgium,Tongue,1,2015
25-,M,Belgium,Gum,-,2015
25-,M,Belgium,Floor of mouth,-,2015
25-,M,Belgium,Palate,-,2015
25-,M,Belgium,"Mouth, NOS",-,2015
25-,M,Belgium,Parotid gland,1,2015
25-,M,Belgium,"Salivary glands, NOS",-,2015
25-,M,Belgium,Tonsil,-,2015
25-,M,Belgium,Oropharynx,-,2015
25-,M,Belgium,Nasopharynx,2,2015
25-,M,Belgium,Pyriform sinus,-,2015
25-,M,Belgium,Hypopharynx,-,2015
25-,M,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
25-,M,Belgium,Oesophagus,-,2015
25-,M,Belgium,Stomach,1,2015
25-,M,Belgium,Small intestine,2,2015
25-,M,Belgium,Colon,8,2015
25-,M,Belgium,Rectosigmoid junction,-,2015
25-,M,Belgium,Rectum,-,2015
25-,M,Belgium,Anus and anal canal,-,2015
25-,M,Belgium,Liver and intrahepatic bile ducts,-,2015
25-,M,Belgium,Gallbladder,-,2015
25-,M,Belgium,"Biliary tract, NOS",-,2015
25-,M,Belgium,Pancreas,2,2015
25-,M,Belgium,Other ill-defined digestive organs,-,2015
25-,M,Belgium,Nasal cavity and middle ear,-,2015
25-,M,Belgium,Accessory sinuses,3,2015
25-,M,Belgium,Larynx,-,2015
25-,M,Belgium,Trachea,-,2015
25-,M,Belgium,Bronchus and lung,2,2015
25-,M,Belgium,Thymus,-,2015
25-,M,Belgium,"Heart, mediastinum and pleura",-,2015
25-,M,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
25-,M,Belgium,Bone and articular cartilage of limbs,2,2015
25-,M,Belgium,"Bone and articular cartilage, NOS",2,2015
25-,M,Belgium,Malignant melanoma of skin,20,2015
25-,M,Belgium,Malignant neoplasms of skin,5,2015
25-,M,Belgium,Mesothelioma,-,2015
25-,M,Belgium,Kaposi's sarcoma,1,2015
25-,M,Belgium,Soft tissues,1,2015
25-,M,Belgium,Retroperitoneum and peritoneum,1,2015
25-,M,Belgium,Breast,-,2015
25-,M,Belgium,Penis,-,2015
25-,M,Belgium,Prostate,-,2015
25-,M,Belgium,Testis,64,2015
25-,M,Belgium,"Male genital organs, NOS",-,2015
25-,M,Belgium,Kidney,3,2015
25-,M,Belgium,Renal pelvis,-,2015
25-,M,Belgium,Ureter,-,2015
25-,M,Belgium,Bladder,-,2015
25-,M,Belgium,"Urinary organs, NOS",-,2015
25-,M,Belgium,Eye and adnexa,-,2015
25-,M,Belgium,Meninges,-,2015
25-,M,Belgium,Brain,20,2015
25-,M,Belgium,"Spinal cord, cranial nerves and CNS, NOS",1,2015
25-,M,Belgium,Thyroid gland,9,2015
25-,M,Belgium,Adrenal gland,1,2015
25-,M,Belgium,"Endocrine glands, NOS",-,2015
25-,M,Belgium,Hodgkin's disease,23,2015
25-,M,Belgium,Non-Hodgkin-lymphoma,16,2015
25-,M,Belgium,Malignant immunoproliferative diseases,-,2015
25-,M,Belgium,Multiple myeloma,-,2015
25-,M,Belgium,Lymphoid leukaemia,5,2015
25-,M,Belgium,Myeloid leukaemia,2,2015
25-,M,Belgium,Monocytic leukaemia,-,2015
25-,M,Belgium,Leukaemia other,-,2015
25-,M,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",4,2015
25-,M,Belgium,Other and ill-defined sites,-,2015
25-,M,Belgium,Unknown primary site,1,2015
25-,M,Belgium,Myeloproliferative Disorders,1,2015
25-,M,Belgium,Myelodysplastic syndromes,2,2015
30-,M,Belgium,Lip,-,2015
30-,M,Belgium,Base of tongue,-,2015
30-,M,Belgium,Tongue,2,2015
30-,M,Belgium,Gum,-,2015
30-,M,Belgium,Floor of mouth,1,2015
30-,M,Belgium,Palate,-,2015
30-,M,Belgium,"Mouth, NOS",-,2015
30-,M,Belgium,Parotid gland,1,2015
30-,M,Belgium,"Salivary glands, NOS",-,2015
30-,M,Belgium,Tonsil,-,2015
30-,M,Belgium,Oropharynx,-,2015
30-,M,Belgium,Nasopharynx,5,2015
30-,M,Belgium,Pyriform sinus,-,2015
30-,M,Belgium,Hypopharynx,-,2015
30-,M,Belgium,"Lip, oral cavity and pharynx, NOS",-,2015
30-,M,Belgium,Oesophagus,-,2015
30-,M,Belgium,Stomach,6,2015
30-,M,Belgium,Small intestine,1,2015
30-,M,Belgium,Colon,8,2015
30-,M,Belgium,Rectosigmoid junction,-,2015
30-,M,Belgium,Rectum,1,2015
30-,M,Belgium,Anus and anal canal,1,2015
30-,M,Belgium,Liver and intrahepatic bile ducts,3,2015
30-,M,Belgium,Gallbladder,-,2015
30-,M,Belgium,"Biliary tract, NOS",-,2015
30-,M,Belgium,Pancreas,3,2015
30-,M,Belgium,Other ill-defined digestive organs,-,2015
30-,M,Belgium,Nasal cavity and middle ear,1,2015
30-,M,Belgium,Accessory sinuses,-,2015
30-,M,Belgium,Larynx,1,2015
30-,M,Belgium,Trachea,-,2015
30-,M,Belgium,Bronchus and lung,3,2015
30-,M,Belgium,Thymus,-,2015
30-,M,Belgium,"Heart, mediastinum and pleura",1,2015
30-,M,Belgium,"Respiratory system and intrathoracic organs, NOS",-,2015
30-,M,Belgium,Bone and articular cartilage of limbs,2,2015
30-,M,Belgium,"Bone and articular cartilage, NOS",3,2015
30-,M,Belgium,Malignant melanoma of skin,28,2015
30-,M,Belgium,Malignant neoplasms of skin,7,2015
30-,M,Belgium,Mesothelioma,1,2015
30-,M,Belgium,Kaposi's sarcoma,2,2015
30-,M,Belgium,Soft tissues,10,2015
30-,M,Belgium,Retroperitoneum and peritoneum,-,2015
30-,M,Belgium,Breast,-,2015
30-,M,Belgium,Penis,-,2015
30-,M,Belgium,Prostate,-,2015
30-,M,Belgium,Testis,84,2015
30-,M,Belgium,"Male genital organs, NOS",-,2015
30-,M,Belgium,Kidney,5,2015
30-,M,Belgium,Renal pelvis,1,2015
30-,M,Belgium,Ureter,-,2015
30-,M,Belgium,Bladder,-,2015
30-,M,Belgium,"Urinary organs, NOS",-,2015
30-,M,Belgium,Eye and adnexa,-,2015
30-,M,Belgium,Meninges,-,2015
30-,M,Belgium,Brain,21,2015
30-,M,Belgium,"Spinal cord, cranial nerves and CNS, NOS",-,2015
30-,M,Belgium,Thyroid gland,18,2015
30-,M,Belgium,Adrenal gland,3,2015
30-,M,Belgium,"Endocrine glands, NOS",-,2015
30-,M,Belgium,Hodgkin's disease,18,2015
30-,M,Belgium,Non-Hodgkin-lymphoma,14,2015
30-,M,Belgium,Malignant immunoproliferative diseases,4,2015
30-,M,Belgium,Multiple myeloma,-,2015
30-,M,Belgium,Lymphoid leukaemia,4,2015
30-,M,Belgium,Myeloid leukaemia,14,2015
30-,M,Belgium,Monocytic leukaemia,-,2015
30-,M,Belgium,Leukaemia other,-,2015
30-,M,Belgium,"Lymphoid, haematopoietic and related tissue, NOS",-,2015
30-,M,Belgium,Other and ill-defined sites,1,2015
30-,M,Belgium,Unknown primary site,1,2015
30-,M,Belgium,Myeloproliferative Disorders,6,2015
30-,M,Belgium,Myelodysplastic syndromes,3,2015
35-,M,Belgium,Lip,-,2015
35-,M,Belgium,Base of tongue,-,2015
35-,M,Belgium,Tongue,2,2015
35-,M,Belgium,Gum,-,2015
35-,M,Belgium,Floor of mouth,-,2015
35-,M,Belgium,Palate,-,2015
